aX,aY,aZ,gX,gY,gZ
2.17,0.40,4.12,0.06,-3.26,5.21
4.50,0.65,3.65,0.38,-3.60,4.83
6.92,1.37,2.69,0.68,-3.69,4.41
8.38,2.48,1.43,0.86,-3.50,3.99
10.49,3.72,0.36,0.89,-3.04,3.59
13.34,5.01,-0.34,0.87,-2.50,3.03
15.72,6.15,-1.32,0.71,-1.72,2.31
16.93,6.83,-1.25,0.40,-0.71,1.53
16.63,6.94,0.17,0.08,0.22,0.75
14.80,6.72,2.27,-0.16,0.77,0.02
12.22,6.37,4.34,-0.21,0.63,-0.63
10.30,5.96,4.36,-0.19,0.23,-1.24
9.19,5.44,4.50,-0.15,-0.25,-1.90
8.17,5.27,3.95,-0.12,-0.72,-2.62
7.12,5.52,3.12,-0.16,-1.04,-3.19
6.48,5.70,2.15,-0.28,-1.12,-3.55
6.00,5.52,1.35,-0.46,-0.95,-3.80
5.39,4.96,0.82,-0.66,-0.60,-4.00
5.03,3.95,0.41,-0.88,-0.11,-4.28
3.88,3.54,0.58,-1.12,0.55,-4.64
2.33,3.36,1.02,-1.33,1.31,-4.87
0.24,2.84,1.72,-1.49,2.16,-4.96
-2.38,1.96,2.72,-1.51,2.86,-4.96
-5.41,1.30,2.19,-1.42,3.46,-4.87
-8.25,1.13,2.23,-1.31,3.99,-4.69
-10.89,1.14,3.04,-1.06,4.05,-4.42
-13.39,0.86,3.15,-0.75,3.69,-4.01
-16.09,0.38,2.63,-0.52,3.40,-3.48
-19.07,-0.52,2.88,-0.36,3.16,-2.83
-21.72,-1.60,3.02,-0.22,2.50,-2.03
-23.12,-1.84,2.26,-0.13,1.56,-1.19
-22.96,-0.78,1.25,-0.12,0.60,-0.36
-21.46,0.80,0.23,-0.17,-0.17,0.43
-19.46,2.19,-0.71,-0.26,-0.60,1.12
-17.63,3.02,-0.87,-0.42,-0.75,1.76
-16.02,3.39,0.01,-0.58,-0.90,2.31
-14.54,3.71,1.14,-0.69,-1.18,2.77
-13.03,4.02,1.84,-0.72,-1.57,3.16
-11.35,4.20,1.91,-0.70,-1.96,3.52
-9.35,4.25,1.40,-0.67,-2.31,3.86
-7.28,4.24,1.41,-0.66,-2.52,4.14
-5.60,4.22,3.03,-0.56,-2.84,4.36
-4.18,4.09,4.01,-0.35,-3.30,4.52
-2.77,3.85,4.24,-0.09,-3.69,4.62
-0.84,3.51,3.98,0.18,-3.95,4.66
1.78,3.45,3.37,0.42,-4.02,4.56
4.95,3.87,2.47,0.57,-3.74,4.33
7.93,4.77,1.56,0.62,-3.13,4.02
9.83,5.76,0.82,0.53,-2.23,3.75
12.58,6.54,1.25,0.40,-1.36,3.39
14.66,7.12,1.56,0.25,-0.50,2.81
15.34,7.54,2.87,0.07,0.27,2.11
14.83,7.60,5.44,0.03,0.54,1.39
13.75,7.33,6.64,0.13,0.35,0.64
12.44,6.91,7.27,0.28,-0.07,-0.09
11.33,6.59,7.33,0.46,-0.64,-0.80
10.59,6.42,6.75,0.61,-1.19,-1.46
10.23,6.29,5.88,0.71,-1.58,-2.08
9.86,6.15,4.59,0.76,-1.73,-2.65
9.28,5.98,3.57,0.75,-1.64,-3.14
8.55,5.72,2.79,0.69,-1.38,-3.55
7.84,5.16,2.35,0.64,-1.01,-3.94
6.60,4.75,1.95,0.58,-0.63,-4.37
5.16,4.82,1.52,0.49,-0.23,-4.70
3.88,5.04,1.18,0.41,0.10,-4.93
2.29,5.37,0.09,0.28,0.50,-5.07
0.68,5.70,-0.65,0.07,0.98,-5.12
-0.64,5.84,-0.76,-0.14,1.38,-5.10
-1.57,5.52,-0.75,-0.31,1.62,-5.06
-2.14,4.71,-1.06,-0.44,1.82,-5.03
-2.80,3.52,-1.37,-0.59,2.05,-5.03
-4.07,2.36,-1.50,-0.80,2.23,-5.01
-5.94,1.48,-1.13,-1.05,2.27,-4.90
-7.98,0.51,-0.42,-1.25,2.11,-4.67
-9.90,-0.65,-0.46,-1.39,1.89,-4.42
-11.71,-1.79,-0.87,-1.55,1.83,-4.11
-13.53,-3.04,-0.91,-1.74,1.94,-3.66
-15.16,-4.37,-0.48,-1.90,2.02,-3.12
-17.07,-5.20,0.54,-1.97,1.95,-2.56
-19.21,-5.34,1.61,-1.90,1.66,-1.91
-20.85,-4.98,2.49,-1.75,1.20,-1.16
-21.37,-4.19,3.14,-1.56,0.63,-0.37
-20.91,-3.00,3.35,-1.35,0.09,0.35
-20.15,-1.49,2.90,-1.16,-0.22,1.02
-19.67,-0.02,2.57,-1.03,-0.24,1.67
-19.74,1.01,2.64,-0.94,-0.08,2.33
-20.01,1.54,2.87,-0.86,0.03,2.99
-19.77,1.88,3.11,-0.80,-0.03,3.63
-18.72,2.36,3.04,-0.76,-0.27,4.23
-17.09,2.88,2.49,-0.75,-0.55,4.78
-15.01,3.18,1.70,-0.81,-0.79,5.33
-12.42,3.04,1.08,-0.92,-0.95,5.84
-9.56,2.33,0.75,-1.08,-1.06,6.27
-6.65,1.36,0.28,-1.28,-1.14,6.59
-4.09,0.45,-0.07,-1.55,-1.09,6.79
-2.28,-0.41,0.84,-1.81,-1.01,6.85
-1.47,-1.21,1.24,-1.91,-1.23,6.80
-0.71,-2.09,0.02,-2.00,-1.37,6.71
0.55,-3.00,-0.69,-2.13,-1.30,6.61
2.59,-3.73,-0.76,-2.22,-1.23,6.45
4.70,-3.96,0.44,-2.22,-1.24,6.22
6.39,-3.66,1.72,-2.14,-1.24,5.94
7.45,-2.99,3.49,-2.02,-1.21,5.63
8.50,-2.09,4.83,-1.85,-1.18,5.26
9.90,-1.00,5.84,-1.64,-1.10,4.81
11.43,0.34,6.64,-1.41,-0.98,4.24
12.62,1.98,7.68,-1.18,-0.83,3.62
13.56,3.72,9.15,-0.92,-0.72,3.00
14.34,5.21,10.74,-0.63,-0.65,2.39
14.83,6.27,12.02,-0.31,-0.64,1.80
15.07,6.95,12.74,0.03,-0.68,1.23
15.27,7.43,12.82,0.35,-0.75,0.69
15.33,7.76,12.69,0.65,-0.81,0.17
15.29,7.81,12.69,0.93,-0.92,-0.32
15.42,7.45,12.50,1.20,-1.07,-0.80
15.44,6.82,11.90,1.43,-1.19,-1.30
15.07,6.11,11.01,1.60,-1.25,-1.81
14.43,5.39,10.05,1.71,-1.25,-2.30
13.73,4.56,9.04,1.75,-1.21,-2.77
12.92,3.57,7.88,1.73,-1.11,-3.22
11.97,2.47,6.77,1.66,-0.95,-3.63
10.94,1.35,5.76,1.56,-0.73,-3.98
9.91,0.29,4.89,1.45,-0.49,-4.29
8.87,-0.64,4.13,1.32,-0.22,-4.55
7.72,-1.35,3.47,1.19,0.07,-4.78
6.46,-1.83,3.26,1.08,0.33,-4.97
5.24,-2.16,3.03,1.01,0.47,-5.12
4.10,-2.39,2.63,0.95,0.56,-5.25
3.14,-2.56,2.14,0.87,0.61,-5.36
2.48,-2.65,1.39,0.77,0.68,-5.45
2.04,-2.65,0.41,0.63,0.86,-5.53
1.60,-2.58,-0.39,0.46,1.13,-5.59
1.18,-2.53,-1.06,0.28,1.46,-5.62
0.61,-2.62,-1.14,0.14,1.78,-5.64
-0.28,-2.95,-1.08,0.06,1.90,-5.63
-1.10,-4.17,-0.40,0.07,1.82,-5.67
-2.52,-4.97,0.46,0.12,1.33,-5.92
-4.42,-5.09,0.34,0.14,0.69,-6.10
-5.78,-5.26,-0.76,0.02,0.19,-6.13
-6.45,-5.46,-2.08,-0.27,0.13,-6.12
aX,aY,aZ,gX,gY,gZ
-16.84,-3.63,2.98,0.48,-0.26,3.88
-16.26,-3.90,3.03,0.53,-0.31,4.24
-15.65,-4.18,2.84,0.60,-0.42,4.63
-14.93,-4.55,2.63,0.69,-0.56,5.04
-13.77,-4.86,2.17,0.75,-0.72,5.41
-12.51,-4.98,1.67,0.80,-0.88,5.69
-11.11,-4.98,1.20,0.83,-1.03,5.93
-9.65,-5.04,0.90,0.86,-1.15,6.13
-8.45,-5.22,0.50,0.87,-1.19,6.31
-7.57,-5.43,0.32,0.85,-1.16,6.48
-6.96,-5.46,0.06,0.80,-1.17,6.68
-5.97,-5.53,-0.15,0.73,-1.23,6.87
-4.58,-5.70,-0.26,0.68,-1.34,7.01
-2.82,-5.93,-0.82,0.64,-1.47,7.06
-1.03,-6.05,-1.64,0.57,-1.42,7.03
0.37,-5.91,-2.05,0.45,-1.20,6.98
1.40,-5.64,-1.97,0.31,-0.94,6.89
2.10,-5.34,-1.60,0.18,-0.71,6.76
2.79,-5.08,-1.24,0.07,-0.58,6.60
3.84,-4.82,-0.70,-0.01,-0.55,6.42
5.36,-4.46,-0.07,-0.05,-0.60,6.21
7.23,-3.86,0.45,-0.03,-0.61,5.99
8.76,-3.02,1.28,0.01,-0.49,5.80
10.37,-2.27,2.40,0.08,-0.35,5.62
12.53,-1.65,3.37,0.18,-0.25,5.29
14.91,-0.93,3.97,0.27,-0.18,4.72
17.22,0.04,4.40,0.35,-0.09,3.99
19.25,1.22,4.72,0.43,0.03,3.18
20.68,2.48,5.14,0.49,0.18,2.33
21.47,3.60,5.68,0.55,0.32,1.50
21.72,4.53,6.18,0.59,0.42,0.72
21.61,5.31,6.49,0.62,0.45,0.01
21.18,5.94,6.44,0.64,0.43,-0.63
20.35,6.39,6.39,0.66,0.36,-1.21
19.34,6.66,6.20,0.66,0.22,-1.73
18.27,6.80,5.88,0.65,0.05,-2.20
17.06,6.87,5.51,0.62,-0.14,-2.64
15.73,6.90,5.03,0.57,-0.33,-3.01
14.29,6.82,4.56,0.50,-0.50,-3.33
12.86,6.62,4.15,0.41,-0.65,-3.58
11.52,6.22,3.94,0.31,-0.80,-3.79
10.25,5.69,3.61,0.22,-0.96,-3.99
9.07,5.09,3.34,0.11,-1.10,-4.15
8.07,4.46,2.95,-0.00,-1.22,-4.31
7.09,3.94,2.49,-0.13,-1.27,-4.45
6.27,3.45,1.87,-0.28,-1.23,-4.56
5.46,2.99,1.21,-0.47,-1.08,-4.63
4.66,2.47,0.59,-0.68,-0.86,-4.69
3.90,1.91,0.11,-0.89,-0.61,-4.73
3.25,1.29,-0.31,-1.10,-0.35,-4.78
2.62,0.60,-0.40,-1.29,-0.09,-4.83
1.88,-0.17,-0.49,-1.45,0.12,-4.87
1.06,-0.99,-0.62,-1.60,0.31,-4.90
0.45,-1.83,-0.88,-1.75,0.51,-4.91
0.13,-2.62,-1.15,-1.92,0.84,-4.96
-0.17,-3.31,-0.95,-2.07,1.23,-5.04
-0.96,-3.83,0.08,-2.12,1.43,-5.13
-2.09,-4.28,0.51,-2.06,1.29,-5.18
-3.24,-4.80,0.43,-1.98,1.12,-5.15
-4.07,-5.44,0.37,-1.95,1.08,-5.12
-4.92,-6.05,0.80,-1.94,1.14,-5.11
-6.17,-6.57,0.97,-1.92,1.30,-5.12
-7.88,-7.04,2.04,-1.88,1.60,-5.08
-10.18,-7.37,4.28,-1.70,1.62,-4.96
-12.28,-8.15,5.66,-1.39,1.26,-4.78
-13.79,-8.55,6.45,-1.10,0.80,-4.83
-15.54,-7.39,6.65,-0.85,0.34,-4.82
-16.89,-5.80,6.07,-0.66,0.10,-4.42
-17.27,-4.71,5.39,-0.55,0.22,-3.77
-17.21,-3.98,5.39,-0.47,0.49,-3.24
-17.87,-3.16,5.77,-0.36,0.71,-2.88
-19.18,-2.41,6.18,-0.23,0.91,-2.48
-20.53,-1.90,6.74,-0.08,1.06,-2.00
-21.54,-1.44,7.01,0.09,1.03,-1.49
-22.02,-0.93,6.62,0.25,0.93,-0.97
-22.12,-0.47,6.07,0.36,0.90,-0.45
-22.04,-0.25,5.65,0.45,0.92,0.06
-22.01,-0.44,5.21,0.52,0.98,0.54
-22.13,-0.95,4.89,0.57,1.06,1.02
-22.23,-1.64,4.63,0.62,1.11,1.53
-22.25,-2.37,4.46,0.67,1.13,2.06
-21.98,-2.94,4.28,0.74,1.02,2.59
-21.24,-3.29,3.93,0.82,0.75,3.09
-19.93,-3.46,3.34,0.90,0.48,3.56
-18.32,-3.57,2.78,0.96,0.32,3.96
-16.80,-3.71,2.27,1.01,0.25,4.30
-15.53,-3.85,1.91,1.03,0.25,4.60
-14.45,-3.92,1.54,1.03,0.24,4.87
-13.38,-3.92,1.09,1.02,0.19,5.11
-12.13,-3.83,0.52,1.01,0.08,5.35
-10.57,-3.58,-0.02,0.98,-0.01,5.54
-9.05,-3.29,-0.44,0.94,-0.03,5.67
-7.75,-3.04,-0.76,0.88,-0.00,5.77
-6.74,-2.84,-0.96,0.79,0.07,5.83
-5.86,-2.70,-1.07,0.71,0.08,5.87
-4.87,-2.59,-1.53,0.60,0.08,5.87
-3.73,-2.42,-1.75,0.45,0.15,5.83
-2.53,-2.22,-1.78,0.29,0.24,5.75
-1.55,-2.01,-1.79,0.12,0.36,5.61
-0.87,-1.74,-1.65,-0.06,0.48,5.46
-0.36,-1.42,-1.27,-0.22,0.53,5.33
0.16,-1.07,-0.93,-0.37,0.51,5.21
0.62,-0.75,-0.58,-0.51,0.48,5.10
1.02,-0.53,-0.61,-0.67,0.48,5.02
1.50,-0.45,-0.66,-0.87,0.59,4.98
2.06,-0.37,-0.58,-1.09,0.75,4.96
2.65,-0.28,0.27,-1.28,0.90,4.95
3.35,-0.12,2.04,-1.35,0.83,4.95
4.46,0.04,3.78,-1.29,0.63,4.90
5.94,0.23,5.30,-1.17,0.45,4.80
7.83,0.48,6.54,-1.02,0.29,4.63
10.32,0.95,7.37,-0.83,0.18,4.40
13.21,1.77,7.85,-0.62,0.14,4.10
16.99,2.83,8.09,-0.43,0.19,3.67
20.13,4.19,8.20,-0.30,0.39,3.02
21.66,5.56,8.50,-0.21,0.63,2.25
21.83,6.36,8.94,-0.12,0.79,1.47
21.29,6.45,9.13,-0.01,0.80,0.73
20.30,6.27,8.73,0.07,0.71,0.02
18.87,6.11,8.15,0.12,0.56,-0.64
17.38,6.04,7.44,0.14,0.34,-1.23
16.16,6.00,6.90,0.14,0.07,-1.74
15.20,5.94,6.61,0.14,-0.25,-2.20
14.33,5.82,6.34,0.12,-0.54,-2.61
13.32,5.58,6.08,0.09,-0.79,-2.97
12.23,5.35,5.67,0.04,-1.00,-3.28
11.23,5.18,5.32,-0.03,-1.21,-3.57
10.36,5.07,4.92,-0.11,-1.39,-3.86
9.56,4.99,4.59,-0.21,-1.52,-4.13
8.81,4.82,4.29,-0.33,-1.56,-4.40
8.11,4.51,3.93,-0.46,-1.54,-4.65
7.41,4.09,3.52,-0.61,-1.42,-4.90
6.71,3.75,3.33,-0.75,-1.26,-5.13
5.93,3.58,2.92,-0.90,-1.03,-5.29
4.94,3.48,2.63,-1.06,-0.67,-5.33
4.01,3.20,2.49,-1.22,-0.23,-5.22
3.13,2.61,2.56,-1.31,0.21,-5.03
2.39,1.73,2.40,-1.36,0.62,-4.82
1.69,0.70,2.09,-1.35,0.98,-4.66
0.98,-0.34,1.69,-1.30,1.28,-4.57
0.36,-1.30,1.03,-1.20,1.50,-4.56
-0.09,-2.10,0.35,-1.09,1.67,-4.63
-0.66,-2.64,-0.19,-0.98,1.80,-4.73
-0.13,-4.33,-0.17,-0.77,1.85,-5.04
-1.54,-4.33,-0.60,-0.68,1.89,-5.64
-3.27,-3.56,-0.64,-0.62,2.02,-5.78
-4.58,-3.48,0.50,-0.52,2.11,-5.64
-6.12,-4.13,2.47,-0.24,1.66,-5.47
-8.08,-4.78,2.73,0.09,0.92,-5.41
-9.70,-4.76,2.16,0.27,0.27,-5.28
-10.19,-4.09,1.37,0.27,-0.10,-5.04
-9.93,-3.35,0.69,0.14,-0.05,-4.72
-9.61,-3.07,0.07,-0.07,0.48,-4.44
-10.91,-3.17,0.85,-0.27,1.26,-4.21
-13.56,-3.70,2.48,-0.29,1.70,-3.92
-16.51,-4.10,3.51,-0.18,1.72,-3.56
-18.90,-3.52,4.10,-0.03,1.46,-3.14
-20.25,-2.00,4.05,0.12,1.02,-2.66
-20.60,-0.22,3.49,0.22,0.62,-2.13
-20.40,1.15,3.22,0.24,0.40,-1.60
-20.22,1.83,3.32,0.22,0.29,-1.11
-20.24,1.98,3.53,0.18,0.25,-0.67
-20.45,1.84,3.89,0.18,0.19,-0.27
-20.95,1.57,4.09,0.25,0.07,0.14
-21.57,1.02,3.97,0.35,-0.07,0.62
-21.84,0.30,3.81,0.44,-0.17,1.14
-21.71,-0.28,3.76,0.52,-0.27,1.65
-21.17,-0.71,3.51,0.60,-0.33,2.18
-20.43,-1.16,3.17,0.68,-0.35,2.74
-19.45,-1.69,2.66,0.71,-0.34,3.29
-18.41,-2.06,2.45,0.73,-0.38,3.77
-17.44,-2.31,2.08,0.76,-0.51,4.20
-16.16,-2.50,1.53,0.77,-0.68,4.66
-14.49,-2.63,0.96,0.76,-0.85,5.05
-12.68,-2.65,0.39,0.73,-0.99,5.35
-10.85,-2.55,0.12,0.69,-1.09,5.59
-9.01,-2.32,-0.35,0.63,-1.17,5.77
-7.42,-2.06,-0.60,0.56,-1.17,5.89
-6.34,-1.96,-0.79,0.49,-1.14,5.98
-5.60,-2.05,-1.05,0.39,-1.06,6.06
-4.78,-2.19,-0.85,0.29,-1.01,6.12
-3.68,-2.33,-0.73,0.22,-1.03,6.14
-2.34,-2.45,-0.68,0.15,-1.03,6.08
-1.09,-2.46,-0.53,0.10,-0.99,5.95
-0.11,-2.41,-0.60,0.05,-0.92,5.82
0.59,-2.32,-0.38,-0.01,-0.81,5.71
1.19,-2.25,-0.28,-0.06,-0.70,5.64
1.71,-2.22,-0.02,-0.09,-0.56,5.61
2.18,-2.16,0.66,-0.09,-0.50,5.62
2.70,-2.08,1.68,-0.00,-0.54,5.67
3.57,-2.01,2.75,0.16,-0.67,5.76
5.35,-1.99,3.86,0.36,-0.97,5.78
8.18,-1.86,4.55,0.63,-1.21,5.61
11.97,-1.29,4.32,0.88,-1.22,5.23
16.49,0.00,4.01,1.07,-0.96,4.64
20.51,2.14,3.18,1.20,-0.53,3.86
23.11,4.74,2.68,1.22,-0.11,3.01
24.83,7.03,2.36,1.20,0.13,2.06
25.01,8.50,1.68,1.07,0.34,1.06
24.42,9.08,1.50,0.80,0.53,0.11
22.95,9.09,2.09,0.48,0.71,-0.75
20.37,8.77,4.20,0.32,0.53,-1.42
18.09,8.34,4.11,0.26,0.00,-1.91
16.38,8.09,3.76,0.15,-0.49,-2.28
15.16,7.95,3.25,-0.01,-0.90,-2.59
14.05,7.66,2.53,-0.21,-1.15,-2.89
12.78,7.35,1.77,-0.44,-1.27,-3.14
11.52,7.00,1.13,-0.70,-1.29,-3.33
10.26,6.53,0.73,-0.97,-1.21,-3.47
8.90,5.95,0.53,-1.21,-1.09,-3.60
7.47,5.32,0.47,-1.44,-0.94,-3.73
6.08,4.74,0.56,-1.63,-0.80,-3.83
4.85,4.27,0.81,-1.78,-0.67,-3.91
3.76,3.93,1.10,-1.88,-0.60,-3.95
2.80,3.66,1.17,-1.94,-0.57,-3.94
2.00,3.39,1.09,-2.00,-0.51,-3.91
1.31,3.07,1.08,-2.08,-0.43,-3.85
0.79,2.69,1.15,-2.16,-0.34,-3.80
0.36,2.29,1.45,-2.23,-0.25,-3.77
0.03,1.96,1.85,-2.28,-0.19,-3.77
-0.33,1.72,2.26,-2.31,-0.17,-3.81
-0.70,1.62,2.52,-2.34,-0.19,-3.88
-1.02,1.66,2.65,-2.38,-0.23,-3.95
-1.15,1.77,2.47,-2.42,-0.25,-4.02
-1.08,1.84,2.02,-2.50,-0.16,-4.09
-0.87,1.78,1.23,-2.64,0.25,-4.16
-0.92,1.52,0.94,-2.82,0.99,-4.22
-2.08,0.92,2.48,-2.89,1.79,-4.25
-4.50,-0.27,5.09,-2.73,2.22,-4.18
-7.16,-2.72,7.81,-2.31,2.35,-4.08
-9.87,-5.44,9.54,-1.82,2.12,-4.42
-13.49,-5.79,9.98,-1.46,1.50,-4.57
-15.90,-4.79,9.73,-1.13,0.98,-4.04
-15.80,-4.07,9.19,-0.87,0.67,-3.15
-14.42,-3.49,8.37,-0.69,0.67,-2.43
-13.78,-2.57,7.94,-0.53,0.92,-1.86
-14.20,-1.80,7.71,-0.35,1.27,-1.31
-15.34,-1.35,7.82,-0.19,1.50,-0.75
-16.45,-0.90,7.95,-0.07,1.48,-0.19
-16.83,-0.31,7.90,0.03,1.31,0.38
-16.42,0.24,7.76,0.13,1.12,0.93
-15.83,0.52,7.34,0.23,1.01,1.42
-15.63,0.48,7.11,0.32,1.03,1.89
-15.90,0.25,7.19,0.41,1.06,2.37
-16.29,-0.03,7.28,0.50,1.02,2.85
-16.46,-0.28,7.52,0.61,0.87,3.36
-15.99,-0.53,7.45,0.74,0.56,3.85
-14.98,-0.72,6.89,0.89,0.21,4.31
-13.59,-0.87,6.11,1.01,-0.07,4.74
-11.88,-1.23,5.15,1.11,-0.27,5.14
-9.90,-1.52,4.10,1.16,-0.44,5.47
-7.86,-1.53,3.07,1.18,-0.64,5.70
-5.98,-1.26,1.90,1.16,-0.82,5.81
-4.44,-0.85,0.97,1.09,-0.88,5.85
-3.25,-0.51,0.50,1.03,-0.87,5.86
-2.22,-0.48,0.35,0.95,-0.82,5.85
-1.23,-0.70,0.34,0.89,-0.76,5.80
-0.30,-1.02,0.35,0.84,-0.70,5.68
0.43,-1.26,0.25,0.80,-0.61,5.53
1.01,-1.30,0.30,0.77,-0.51,5.41
1.60,-1.11,0.34,0.75,-0.42,5.34
2.18,-0.76,0.59,0.74,-0.30,5.29
2.85,-0.37,0.67,0.71,-0.18,5.28
3.74,-0.02,1.19,0.68,-0.00,5.27
5.02,0.28,2.22,0.67,0.05,5.23
7.01,0.66,2.76,0.70,0.03,5.07
9.55,1.21,2.84,0.71,0.18,4.75
12.17,2.10,3.10,0.71,0.51,4.30
14.49,3.34,3.43,0.67,0.90,3.75
16.27,4.67,4.26,0.62,1.26,3.17
17.78,5.78,5.25,0.56,1.46,2.56
19.21,6.52,6.29,0.53,1.52,1.92
20.36,6.95,6.91,0.51,1.45,1.24
20.82,7.27,7.18,0.51,1.31,0.55
20.25,7.56,7.23,0.51,1.06,-0.12
18.84,7.79,7.11,0.51,0.71,-0.71
17.21,7.92,6.82,0.49,0.27,-1.18
15.98,7.97,6.17,0.44,-0.17,-1.56
15.10,7.99,5.72,0.36,-0.56,-1.87
14.31,7.99,5.27,0.29,-0.93,-2.15
13.30,7.92,5.03,0.20,-1.23,-2.40
12.12,7.84,4.66,0.09,-1.48,-2.61
10.95,7.72,4.31,-0.03,-1.68,-2.80
9.91,7.59,3.86,-0.18,-1.81,-2.97
9.07,7.44,3.30,-0.35,-1.86,-3.14
8.34,7.26,2.83,-0.54,-1.83,-3.30
7.73,7.01,2.44,-0.74,-1.72,-3.44
7.03,6.67,1.89,-0.92,-1.56,-3.56
6.21,6.27,1.25,-1.11,-1.29,-3.61
5.40,5.73,0.73,-1.31,-0.94,-3.59
4.55,5.06,0.36,-1.49,-0.58,-3.54
3.57,4.28,0.03,-1.66,-0.22,-3.47
2.48,3.38,-0.32,-1.81,0.10,-3.38
1.48,2.37,-0.67,-1.95,0.40,-3.30
0.79,1.31,-0.84,-2.08,0.69,-3.26
0.51,0.31,-0.80,-2.21,0.94,-3.28
0.50,-0.50,-0.68,-2.31,1.17,-3.37
0.41,-1.06,-0.62,-2.40,1.39,-3.48
0.09,-1.45,-0.75,-2.47,1.61,-3.56
-0.34,-1.82,-0.75,-2.52,1.83,-3.61
aX,aY,aZ,gX,gY,gZ
-15.73,-6.73,-2.61,0.31,-1.51,5.43
-13.76,-7.58,-2.52,0.33,-1.62,5.76
-12.15,-8.40,-2.02,0.34,-1.75,6.01
-11.12,-8.76,-1.66,0.40,-2.02,6.17
-10.17,-8.67,-1.64,0.48,-2.26,6.28
-9.11,-8.30,-1.89,0.55,-2.40,6.40
-7.77,-7.96,-2.19,0.56,-2.32,6.53
-6.32,-7.67,-2.03,0.52,-2.07,6.62
-5.09,-7.24,-1.84,0.49,-1.84,6.65
-3.93,-6.77,-1.66,0.45,-1.56,6.63
-2.98,-6.32,-1.79,0.35,-1.22,6.54
-2.07,-5.81,-1.81,0.18,-0.84,6.39
-1.23,-5.20,-1.81,-0.07,-0.43,6.28
-0.42,-4.69,-1.64,-0.36,0.04,6.24
0.29,-4.38,-1.01,-0.69,0.55,6.27
0.96,-4.28,0.08,-1.02,1.01,6.30
1.92,-4.32,1.57,-1.32,1.38,6.23
3.41,-4.37,4.03,-1.50,1.60,5.91
4.34,-4.38,6.97,-1.56,1.51,5.49
5.48,-4.50,9.15,-1.47,1.12,5.11
7.43,-4.51,10.03,-1.33,0.60,4.70
10.12,-3.98,10.35,-1.18,0.16,4.30
13.64,-2.92,9.95,-1.00,0.24,3.84
16.75,-1.22,10.88,-0.88,0.64,3.27
18.78,0.67,12.31,-0.80,1.00,2.63
19.41,2.04,14.21,-0.72,1.25,2.05
19.37,2.50,15.85,-0.55,1.21,1.53
19.50,2.43,16.58,-0.29,0.88,1.01
19.96,2.60,16.21,-0.01,0.42,0.44
20.15,3.29,15.13,0.23,0.01,-0.18
19.63,4.14,13.97,0.39,-0.34,-0.78
18.58,4.70,12.90,0.49,-0.60,-1.34
17.15,4.81,12.17,0.54,-0.82,-1.85
15.50,4.61,11.60,0.56,-1.03,-2.31
13.77,4.28,11.12,0.58,-1.24,-2.71
12.08,3.96,10.80,0.60,-1.46,-3.06
10.52,3.56,10.38,0.64,-1.72,-3.40
9.11,3.01,9.90,0.69,-1.99,-3.73
7.83,2.39,9.15,0.72,-2.22,-4.06
6.75,1.75,7.83,0.67,-2.35,-4.38
6.01,1.01,6.24,0.52,-2.29,-4.70
5.59,0.47,4.39,0.31,-2.07,-5.05
5.16,0.46,2.12,-0.06,-1.52,-5.37
5.08,-0.43,0.94,-0.42,-0.66,-5.64
4.29,-1.54,-0.22,-0.66,0.21,-5.96
2.90,-2.55,-0.56,-0.87,1.07,-6.10
1.43,-3.65,-0.44,-0.94,1.63,-6.09
-0.04,-4.71,-0.78,-0.93,1.97,-6.06
-1.33,-5.60,-0.85,-0.90,2.18,-6.03
-2.13,-6.19,-1.03,-0.82,2.19,-6.03
-2.54,-6.45,-1.43,-0.74,2.18,-6.07
-3.07,-6.51,-1.76,-0.72,2.20,-6.13
-3.57,-7.01,-1.51,-0.69,2.18,-6.19
-4.77,-7.06,-0.94,-0.68,1.97,-6.40
-6.29,-6.72,-0.43,-0.68,1.61,-6.44
-7.67,-6.70,-0.11,-0.72,1.26,-6.35
-9.29,-7.08,0.21,-0.79,1.04,-6.19
-11.09,-7.63,0.73,-0.92,0.96,-5.90
-12.79,-7.91,1.67,-1.07,0.91,-5.51
-14.34,-7.66,2.86,-1.22,0.82,-5.10
-16.79,-7.04,4.01,-1.33,0.71,-4.72
-20.54,-6.00,5.78,-1.40,0.62,-4.25
-24.41,-4.67,8.55,-1.24,0.23,-3.58
-26.74,-3.18,9.83,-0.81,-0.58,-2.80
-27.14,-1.53,9.43,-0.39,-1.28,-2.01
-26.72,0.32,8.90,-0.10,-1.48,-1.23
-26.00,1.89,9.17,0.15,-1.36,-0.48
-25.40,2.91,9.14,0.40,-1.15,0.19
-24.91,3.28,9.00,0.62,-0.84,0.83
-24.29,2.96,8.82,0.84,-0.60,1.48
-23.20,2.13,8.43,1.03,-0.46,2.07
-21.77,1.18,7.90,1.20,-0.39,2.59
-20.22,0.25,7.41,1.34,-0.37,3.03
-18.68,-0.71,6.85,1.46,-0.40,3.42
-17.06,-1.62,6.15,1.54,-0.46,3.76
-15.42,-2.33,5.41,1.60,-0.57,4.03
-13.90,-2.82,4.67,1.63,-0.69,4.26
-12.63,-3.16,3.98,1.65,-0.82,4.48
-11.33,-3.50,3.14,1.64,-0.95,4.70
-10.01,-3.84,2.42,1.61,-1.03,4.88
-8.66,-4.15,1.94,1.56,-1.11,5.03
