aX,aY,aZ,gX,gY,gZ
9.78,1.73,4.89,0.47,-0.45,-1.86
9.57,1.72,4.93,0.50,-0.55,-1.98
9.33,1.78,4.90,0.55,-0.67,-2.12
9.11,1.93,4.75,0.60,-0.77,-2.24
8.91,2.14,4.60,0.65,-0.85,-2.36
8.78,2.34,4.40,0.70,-0.92,-2.48
8.68,2.48,4.21,0.76,-0.95,-2.60
8.50,2.60,4.04,0.84,-0.93,-2.74
8.20,2.77,3.80,0.92,-0.88,-2.87
7.73,3.02,3.56,1.01,-0.83,-3.00
7.18,3.27,3.28,1.09,-0.78,-3.11
6.65,3.45,2.95,1.15,-0.73,-3.19
6.08,3.57,2.70,1.21,-0.70,-3.28
5.47,3.70,2.23,1.26,-0.68,-3.36
4.75,3.95,1.73,1.28,-0.69,-3.45
4.03,4.30,1.25,1.24,-0.73,-3.50
3.46,4.61,0.74,1.16,-0.73,-3.51
3.06,4.87,0.38,1.08,-0.66,-3.46
2.81,5.06,0.10,1.01,-0.55,-3.37
2.51,5.21,-0.01,0.98,-0.43,-3.29
2.06,5.39,-0.15,0.97,-0.42,-3.23
1.40,5.65,-0.40,0.93,-0.45,-3.21
0.61,5.97,-0.69,0.87,-0.54,-3.19
-0.19,6.35,-0.90,0.77,-0.63,-3.14
-0.83,6.72,-1.08,0.66,-0.72,-3.06
-1.24,7.04,-1.26,0.55,-0.78,-2.95
-1.41,7.24,-1.45,0.44,-0.80,-2.84
-1.40,7.32,-1.76,0.35,-0.74,-2.76
-1.36,7.29,-1.66,0.27,-0.62,-2.70
-1.41,7.17,-1.40,0.24,-0.45,-2.68
-1.74,7.07,-1.35,0.26,-0.26,-2.68
-2.48,7.10,-1.61,0.29,-0.05,-2.68
-3.67,7.35,-1.90,0.28,0.05,-2.64
-4.92,7.80,-2.46,0.20,0.03,-2.55
-5.96,8.38,-2.83,0.06,-0.05,-2.38
-6.65,8.94,-3.04,-0.10,-0.18,-2.17
-6.97,9.34,-3.08,-0.27,-0.37,-1.94
-6.97,9.55,-3.19,-0.44,-0.58,-1.75
-7.00,9.66,-3.17,-0.59,-0.76,-1.59
-6.95,9.67,-3.08,-0.75,-0.89,-1.43
-6.74,9.67,-2.69,-0.88,-0.93,-1.26
-6.39,9.73,-2.01,-0.92,-0.85,-1.10
-5.98,9.83,-1.19,-0.87,-0.69,-0.97
-5.68,9.92,-0.38,-0.74,-0.46,-0.88
-5.69,10.00,0.23,-0.56,-0.23,-0.83
-6.00,10.13,0.55,-0.36,-0.03,-0.80
-6.45,10.33,0.51,-0.16,0.10,-0.74
-6.88,10.60,0.20,-0.00,0.16,-0.65
-7.13,10.95,-0.27,0.10,0.17,-0.53
-7.18,11.31,-0.71,0.13,0.14,-0.38
-7.07,11.54,-1.03,0.10,0.08,-0.23
-6.84,11.55,-1.24,0.04,0.02,-0.10
-6.60,11.42,-1.30,-0.04,-0.04,0.01
-6.39,11.22,-1.26,-0.09,-0.07,0.10
-6.25,11.04,-1.11,-0.12,-0.08,0.17
-6.17,10.90,-0.78,-0.14,-0.08,0.24
-6.11,10.78,-0.54,-0.13,-0.07,0.32
-6.02,10.66,-0.35,-0.11,-0.05,0.40
-5.93,10.51,-0.25,-0.08,-0.04,0.49
-5.85,10.37,-0.18,-0.04,-0.03,0.57
-5.69,10.28,-0.26,-0.00,-0.02,0.64
-5.48,10.23,-0.39,0.02,0.00,0.70
aX,aY,aZ,gX,gY,gZ
8.00,2.47,4.29,0.58,-0.58,-2.29
7.69,2.69,4.15,0.61,-0.62,-2.37
7.45,2.93,4.02,0.63,-0.69,-2.44
7.37,3.11,3.92,0.63,-0.75,-2.52
7.32,3.18,3.89,0.65,-0.80,-2.62
7.19,3.17,3.79,0.68,-0.82,-2.74
6.91,3.17,3.67,0.73,-0.83,-2.87
6.50,3.28,3.50,0.77,-0.83,-3.00
6.08,3.47,3.22,0.81,-0.82,-3.11
5.68,3.70,2.81,0.84,-0.78,-3.23
5.25,3.92,2.39,0.85,-0.71,-3.35
4.74,4.14,2.14,0.84,-0.63,-3.46
4.18,4.36,1.91,0.86,-0.52,-3.53
3.55,4.53,1.65,0.88,-0.40,-3.56
2.75,4.68,1.39,0.91,-0.35,-3.58
1.85,4.87,1.03,0.91,-0.39,-3.59
0.89,5.14,0.73,0.88,-0.46,-3.59
-0.04,5.50,0.42,0.84,-0.54,-3.57
-0.77,5.86,0.06,0.78,-0.58,-3.51
-1.29,6.17,-0.16,0.72,-0.59,-3.43
-1.73,6.39,-0.23,0.67,-0.62,-3.33
-2.19,6.54,-0.41,0.62,-0.64,-3.25
-2.73,6.67,-0.79,0.57,-0.65,-3.18
-3.35,6.88,-1.24,0.51,-0.63,-3.11
-3.90,7.23,-1.76,0.43,-0.58,-3.01
-4.32,7.69,-2.26,0.34,-0.46,-2.88
-4.62,8.15,-2.67,0.24,-0.33,-2.75
-4.97,8.54,-2.76,0.12,-0.22,-2.62
-5.40,8.84,-2.69,0.02,-0.10,-2.51
-5.96,9.05,-2.26,-0.06,-0.06,-2.41
-6.48,9.18,-1.81,-0.11,-0.09,-2.29
-6.80,9.27,-1.36,-0.14,-0.19,-2.16
-7.04,9.45,-1.02,-0.17,-0.29,-2.00
-7.24,9.70,-0.83,-0.17,-0.35,-1.82
-7.45,9.96,-0.90,-0.13,-0.36,-1.62
-7.66,10.23,-1.17,-0.11,-0.33,-1.40
-7.75,10.49,-1.39,-0.12,-0.30,-1.18
-7.66,10.73,-1.46,-0.17,-0.26,-0.96
-7.40,10.87,-1.42,-0.22,-0.21,-0.75
-7.05,10.89,-1.38,-0.26,-0.16,-0.57
-6.77,10.88,-1.26,-0.30,-0.12,-0.43
-6.61,10.87,-1.10,-0.31,-0.08,-0.34
-6.56,10.91,-0.94,-0.31,-0.05,-0.26
-6.58,10.99,-0.84,-0.30,-0.03,-0.19
-6.65,11.09,-0.74,-0.29,-0.02,-0.12
-6.68,11.16,-0.68,-0.30,-0.01,-0.04
-6.69,11.21,-0.63,-0.30,0.00,0.05
-6.65,11.26,-0.56,-0.30,0.03,0.14
-6.62,11.22,-0.44,-0.29,0.06,0.24
-6.64,11.16,-0.30,-0.26,0.10,0.33
-6.71,11.11,-0.16,-0.23,0.13,0.43
-6.74,11.08,-0.08,-0.19,0.15,0.53
-6.75,11.05,-0.00,-0.15,0.15,0.64
-6.74,11.02,-0.04,-0.11,0.14,0.75
-6.73,11.00,-0.13,-0.09,0.13,0.85
-6.67,10.99,-0.23,-0.09,0.11,0.97
-6.56,10.94,-0.27,-0.10,0.10,1.09
-6.40,10.81,-0.13,-0.13,0.09,1.21
-6.18,10.64,0.00,-0.14,0.10,1.33
-5.90,10.50,0.11,-0.13,0.13,1.45
-5.60,10.38,0.11,-0.10,0.16,1.54
-5.30,10.25,0.07,-0.07,0.21,1.63
-5.03,10.13,0.05,-0.05,0.26,1.70
-4.81,10.02,0.11,-0.03,0.28,1.75
-4.65,9.90,0.13,-0.01,0.28,1.80
-4.51,9.75,0.17,0.01,0.25,1.85
-4.33,9.53,0.24,0.01,0.22,1.91
-4.08,9.24,0.34,-0.00,0.18,1.97
-3.71,8.93,0.39,-0.01,0.18,2.03
-3.24,8.65,0.52,0.01,0.22,2.09
-2.70,8.44,0.57,0.06,0.31,2.13
-2.18,8.25,0.56,0.15,0.45,2.14
-1.82,8.10,0.42,0.26,0.62,2.12
-1.65,7.94,0.23,0.37,0.77,2.06
-1.62,7.82,-0.02,0.43,0.89,2.01
-1.61,7.72,-0.25,0.44,0.97,1.98
-1.52,7.56,-0.36,0.41,1.01,2.01
-1.28,7.30,-0.42,0.36,1.04,2.05
-0.95,7.03,-0.45,0.30,1.07,2.11
-0.56,6.80,-0.46,0.23,1.10,2.16
-0.21,6.68,-0.41,0.15,1.16,2.23
0.03,6.64,-0.39,0.01,1.19,2.35
0.47,6.46,-0.16,-0.15,1.19,2.46
0.95,6.21,0.18,-0.26,1.19,2.53
1.38,5.94,0.43,-0.35,1.18,2.56
1.70,5.74,0.70,-0.44,1.14,2.58
2.01,5.54,1.02,-0.53,1.08,2.61
2.45,5.24,1.36,-0.61,1.00,2.63
3.03,4.89,1.57,-0.68,0.94,2.63
3.70,4.60,1.74,-0.72,0.92,2.60
4.35,4.40,1.83,-0.73,0.95,2.52
4.77,4.27,1.98,-0.73,1.00,2.42
4.98,4.19,2.06,-0.73,1.05,2.32
5.00,4.12,2.20,-0.75,1.11,2.23
4.84,4.09,2.35,-0.75,1.19,2.17
4.61,4.13,2.43,-0.76,1.24,2.14
4.48,4.13,2.64,-0.82,1.22,2.14
4.50,4.04,2.97,-0.89,1.13,2.16
4.77,3.90,3.28,-0.97,1.03,2.20
5.22,3.76,3.60,-1.03,0.96,2.22
5.60,3.73,3.96,-1.05,0.94,2.23
5.90,3.74,4.38,-1.06,0.92,2.24
6.21,3.67,4.92,-1.07,0.87,2.28
6.65,3.44,5.47,-1.08,0.79,2.33
7.30,3.08,6.05,-1.08,0.69,2.36
8.10,2.75,6.57,-1.06,0.59,2.37
8.97,2.41,6.95,-1.00,0.48,2.32
9.80,2.09,7.24,-0.92,0.41,2.23
10.51,1.81,7.35,-0.79,0.37,2.11
11.03,1.63,7.27,-0.64,0.38,1.95
11.32,1.63,7.01,-0.48,0.42,1.78
11.37,1.75,6.80,-0.36,0.44,1.61
11.31,1.80,6.66,-0.29,0.41,1.46
11.30,1.71,6.62,-0.26,0.33,1.32
11.36,1.52,6.67,-0.23,0.23,1.18
11.54,1.34,6.65,-0.18,0.15,1.04
11.79,1.22,6.64,-0.12,0.08,0.88
12.06,1.15,6.60,-0.06,0.01,0.70
12.30,1.12,6.51,0.00,-0.06,0.50
12.50,1.08,6.34,0.07,-0.08,0.28
12.56,1.06,6.16,0.15,-0.09,0.05
12.43,1.06,6.06,0.22,-0.10,-0.19
12.16,1.07,5.85,0.29,-0.14,-0.41
11.78,1.12,5.71,0.33,-0.21,-0.63
11.43,1.19,5.59,0.35,-0.32,-0.82
11.19,1.29,5.46,0.36,-0.43,-1.00
11.03,1.36,5.37,0.38,-0.52,-1.18
10.81,1.41,5.28,0.41,-0.57,-1.36
10.51,1.52,5.19,0.45,-0.57,-1.52
10.15,1.68,5.07,0.50,-0.55,-1.66
9.76,1.86,4.98,0.55,-0.51,-1.78
9.32,2.07,4.92,0.60,-0.49,-1.87
8.89,2.24,4.90,0.63,-0.48,-1.95
8.49,2.36,4.98,0.66,-0.50,-2.02
8.16,2.47,5.18,0.68,-0.55,-2.08
7.89,2.61,5.36,0.73,-0.66,-2.14
7.55,2.84,5.25,0.80,-0.80,-2.22
7.19,3.13,4.96,0.83,-0.96,-2.29
6.97,3.34,4.69,0.83,-1.16,-2.34
6.98,3.35,4.47,0.81,-1.34,-2.41
7.13,3.19,4.35,0.80,-1.47,-2.50
7.26,3.02,4.18,0.83,-1.54,-2.64
7.26,2.96,3.78,0.90,-1.54,-2.81
7.07,2.97,3.20,0.96,-1.49,-3.00
6.73,2.98,2.46,0.99,-1.43,-3.22
6.16,3.07,1.91,0.96,-1.38,-3.45
5.34,3.27,1.39,0.92,-1.33,-3.65
4.33,3.57,0.88,0.92,-1.23,-3.78
3.29,4.02,0.34,0.92,-1.12,-3.83
2.33,4.55,-0.11,0.88,-1.01,-3.80
1.64,4.52,1.75,1.02,-0.91,-3.72
1.57,4.49,0.74,1.47,-0.53,-3.65
0.91,4.86,-0.13,1.56,-0.33,-3.51
-0.15,5.70,-0.80,1.45,-0.23,-3.35
-1.00,6.57,-1.27,1.21,-0.26,-3.17
-1.12,6.97,-1.73,0.91,-0.33,-2.99
-0.85,7.02,-2.07,0.62,-0.29,-2.85
-0.77,7.11,-2.17,0.38,-0.13,-2.75
-1.32,7.41,-2.22,0.18,0.02,-2.68
-2.39,7.87,-2.32,-0.01,0.05,-2.61
-3.62,8.33,-2.14,-0.22,-0.11,-2.54
-4.59,8.75,-1.87,-0.41,-0.44,-2.44
-4.71,9.07,-1.72,-0.57,-0.84,-2.39
-4.82,9.51,-1.64,-0.70,-1.14,-2.36
-4.93,9.91,-1.60,-0.78,-1.28,-2.26
-4.94,10.17,-1.66,-0.80,-1.22,-2.10
-4.98,10.31,-1.64,-0.76,-1.04,-1.91
-5.15,10.36,-1.53,-0.67,-0.84,-1.74
-5.43,10.37,-1.46,-0.58,-0.66,-1.60
-5.69,10.42,-1.49,-0.50,-0.53,-1.48
-5.80,10.52,-1.49,-0.47,-0.44,-1.34
-5.72,10.62,-1.26,-0.48,-0.40,-1.21
-5.63,10.64,-0.79,-0.49,-0.38,-1.09
-5.65,10.58,-0.26,-0.46,-0.34,-0.98
-5.79,10.49,0.13,-0.38,-0.30,-0.87
-6.02,10.49,0.28,-0.26,-0.26,-0.76
-6.17,10.60,0.22,-0.14,-0.22,-0.65
-6.20,10.75,0.00,-0.04,-0.18,-0.54
-6.20,10.92,-0.12,0.03,-0.16,-0.44
-6.26,11.03,-0.14,0.09,-0.16,-0.36
-6.40,11.05,-0.06,0.14,-0.18,-0.29
-6.57,11.03,-0.03,0.19,-0.22,-0.21
-6.68,11.01,-0.03,0.24,-0.26,-0.12
-6.65,11.06,-0.16,0.29,-0.29,-0.01
-6.48,11.14,-0.44,0.33,-0.31,0.11
-6.27,11.22,-0.76,0.37,-0.29,0.22
-6.09,11.24,-1.02,0.38,-0.24,0.32
-6.02,11.20,-1.17,0.39,-0.18,0.39
-6.08,11.10,-1.14,0.40,-0.13,0.46
-6.20,11.00,-1.11,0.40,-0.12,0.53
-6.28,10.92,-1.21,0.39,-0.11,0.61
-6.31,10.82,-1.41,0.36,-0.12,0.71
-6.24,10.72,-1.60,0.32,-0.12,0.82
-6.05,10.62,-1.72,0.27,-0.11,0.94
-5.79,10.51,-1.75,0.24,-0.07,1.04
-5.54,10.39,-1.70,0.22,-0.01,1.13
-5.36,10.29,-1.58,0.23,0.05,1.20
-5.22,10.21,-1.45,0.25,0.11,1.27
-5.09,10.12,-1.45,0.28,0.17,1.32
-4.96,10.02,-1.51,0.30,0.24,1.38
aX,aY,aZ,gX,gY,gZ
10.81,-0.01,8.03,-1.14,0.24,2.50
11.75,-0.40,8.23,-1.00,0.21,2.37
12.57,-0.66,8.43,-0.80,0.25,2.17
13.07,-0.73,8.34,-0.57,0.31,1.93
13.24,-0.67,8.03,-0.36,0.38,1.69
13.21,-0.56,7.62,-0.21,0.43,1.46
13.02,-0.41,7.32,-0.11,0.43,1.25
12.83,-0.35,7.17,-0.07,0.37,1.05
12.70,-0.40,7.07,-0.05,0.27,0.85
12.67,-0.54,6.88,-0.04,0.15,0.64
12.84,-0.72,6.54,-0.03,0.05,0.42
13.11,-0.86,6.23,-0.02,0.01,0.16
13.24,-0.93,6.00,0.00,0.02,-0.13
13.10,-0.93,5.85,0.04,0.07,-0.44
12.75,-0.90,5.81,0.09,0.11,-0.72
12.33,-0.88,5.89,0.11,0.11,-0.96
12.05,-0.87,6.04,0.11,0.06,-1.18
11.98,-0.82,6.26,0.12,-0.02,-1.39
11.98,-0.75,6.48,0.15,-0.12,-1.61
11.95,-0.61,6.62,0.20,-0.21,-1.82
11.88,-0.46,6.58,0.26,-0.27,-2.04
11.85,-0.27,6.47,0.33,-0.28,-2.24
11.86,-0.08,6.38,0.41,-0.23,-2.45
11.65,0.09,6.40,0.54,-0.12,-2.67
11.10,0.21,6.43,0.68,-0.01,-2.90
10.32,0.34,6.30,0.83,0.09,-3.10
9.50,0.51,6.10,0.96,0.18,-3.25
8.82,0.69,5.86,1.09,0.29,-3.37
8.26,0.84,5.67,1.23,0.42,-3.46
7.90,0.81,5.65,1.43,0.55,-3.52
7.51,0.69,5.52,1.66,0.69,-3.62
6.87,0.65,5.14,1.89,0.81,-3.72
6.08,0.74,4.67,2.08,0.92,-3.80
5.27,0.86,4.19,2.23,1.00,-3.86
4.50,1.00,3.52,2.36,1.07,-3.91
3.73,1.14,2.69,2.44,1.12,-3.95
2.91,1.31,1.76,2.46,1.15,-3.99
2.01,1.58,0.84,2.43,1.15,-4.04
1.08,2.03,0.01,2.30,1.07,-4.08
0.21,2.52,-0.55,2.09,0.93,-4.09
-0.54,2.93,-0.89,1.82,0.74,-4.07
-1.18,3.24,-1.28,1.52,0.55,-4.01
-1.62,3.44,-1.57,1.19,0.38,-3.92
-1.83,3.52,-1.81,0.86,0.24,-3.82
-1.89,3.43,-1.35,0.59,0.14,-3.75
-1.34,2.60,0.71,0.76,0.01,-3.81
-1.28,2.34,-0.52,1.01,0.15,-3.99
-2.01,2.25,-0.99,1.02,0.17,-4.13
-3.33,2.34,-1.30,0.98,0.17,-4.22
-4.72,2.41,-1.51,0.85,-0.02,-4.25
-5.67,2.30,-1.58,0.68,-0.27,-4.25
-5.96,2.08,-1.62,0.53,-0.47,-4.26
-5.86,1.83,-1.60,0.43,-0.50,-4.29
-5.94,1.62,-1.56,0.46,-0.28,-4.34
-6.61,1.35,-1.58,0.61,0.03,-4.38
-7.81,0.97,-1.81,0.83,0.34,-4.35
-9.24,0.53,-1.99,1.08,0.61,-4.25
-10.85,0.32,-2.28,1.31,0.78,-4.07
-12.60,0.63,-2.58,1.51,0.86,-3.80
-14.03,1.45,-3.07,1.67,0.82,-3.45
-14.75,2.52,-3.56,1.80,0.77,-3.04
-14.59,3.45,-4.01,1.91,0.76,-2.63
-14.10,4.07,-4.48,2.03,0.88,-2.30
-13.76,4.55,-4.76,2.14,1.08,-2.03
-13.04,4.73,-5.05,2.14,1.26,-1.80
-13.92,5.54,-5.58,2.06,1.49,-1.57
-15.23,6.54,-5.92,1.93,1.64,-1.18
-15.57,7.17,-6.52,1.75,1.59,-0.66
-15.00,7.50,-7.30,1.57,1.50,-0.13
-14.46,7.93,-8.00,1.43,1.40,0.32
-14.33,8.44,-8.57,1.28,1.24,0.69
-14.52,8.77,-8.98,1.09,1.02,0.92
-14.80,8.86,-9.42,0.86,0.78,1.00
-14.67,8.59,-9.87,0.63,0.57,0.95
-14.21,8.06,-10.25,0.38,0.43,0.78
-13.84,7.45,-10.49,0.13,0.34,0.60
-13.91,6.94,-10.59,-0.12,0.29,0.51
-14.28,6.63,-10.54,-0.38,0.25,0.57
-14.45,6.38,-10.23,-0.63,0.20,0.78
-14.10,6.11,-9.80,-0.87,0.16,1.05
-13.41,5.82,-9.34,-1.07,0.17,1.28
-12.68,5.54,-8.91,-1.22,0.24,1.44
-12.17,5.32,-8.52,-1.30,0.39,1.57
-11.92,5.24,-8.12,-1.35,0.57,1.67
-11.88,5.26,-7.71,-1.38,0.71,1.79
-11.93,5.33,-7.40,-1.40,0.81,1.93
-11.85,5.32,-7.11,-1.43,0.87,2.11
-11.48,5.20,-6.86,-1.47,0.89,2.31
-10.90,5.06,-6.62,-1.53,0.91,2.47
-10.35,5.04,-6.34,-1.60,0.91,2.60
-9.97,5.13,-6.13,-1.69,0.88,2.71
-9.62,5.18,-5.88,-1.79,0.83,2.82
-9.15,5.13,-5.67,-1.90,0.73,2.92
-8.59,4.96,-5.54,-2.00,0.62,2.99
-8.00,4.74,-5.37,-2.07,0.54,3.03
-7.36,4.54,-5.18,-2.11,0.49,3.04
-6.78,4.45,-4.94,-2.14,0.44,3.03
-6.37,4.45,-4.70,-2.17,0.38,3.04
-6.06,4.45,-4.42,-2.22,0.30,3.07
-5.59,4.31,-4.12,-2.26,0.21,3.11
-4.90,4.12,-3.82,-2.33,0.12,3.15
-4.00,4.04,-3.38,-2.39,0.05,3.16
-3.00,4.10,-2.85,-2.39,0.03,3.15
-1.46,3.67,-2.43,-2.36,0.02,3.03
-0.02,3.33,-1.72,-2.23,0.05,2.73
0.72,3.37,-1.20,-1.95,0.17,2.35
0.70,3.44,-1.20,-1.65,0.30,2.03
0.47,3.08,-1.22,-1.47,0.32,1.81
-0.27,3.36,-1.96,-1.44,0.24,1.73
-0.85,3.61,-3.29,-1.68,0.33,1.96
-0.87,3.39,-2.98,-2.10,0.37,2.12
-0.53,2.98,-2.00,-2.51,0.28,2.21
0.05,2.59,-0.76,-2.83,0.17,2.25
0.53,2.29,1.20,-3.00,-0.07,2.23
0.77,2.15,2.83,-2.96,-0.37,2.22
0.98,2.02,3.57,-2.84,-0.63,2.24
1.33,1.99,3.76,-2.79,-0.86,2.25
1.82,1.93,4.00,-2.79,-1.11,2.23
2.22,1.87,4.03,-2.85,-1.42,2.15
2.71,1.84,3.96,-2.94,-1.70,2.11
3.52,1.77,4.06,-3.06,-1.92,2.10
4.72,1.53,4.27,-3.20,-2.05,2.07
5.93,1.26,5.08,-3.31,-2.12,2.00
6.92,0.97,6.20,-3.31,-2.07,1.95
7.58,0.56,7.37,-3.15,-1.86,1.91
7.90,0.10,8.60,-2.89,-1.64,1.87
8.03,-0.29,9.47,-2.53,-1.45,1.83
8.40,-0.55,9.58,-2.15,-1.26,1.85
9.15,-0.71,9.30,-1.82,-1.08,1.87
10.10,-0.76,8.94,-1.55,-0.87,1.85
10.92,-0.74,8.71,-1.30,-0.58,1.77
11.27,-0.51,8.57,-1.07,-0.24,1.64
11.06,-0.10,8.75,-0.88,0.08,1.50
10.41,0.35,8.94,-0.71,0.29,1.40
9.71,0.83,9.00,-0.63,0.35,1.36
9.28,1.13,9.33,-0.65,0.22,1.38
9.31,1.05,9.74,-0.72,-0.03,1.40
9.82,0.63,10.04,-0.77,-0.30,1.40
10.72,0.16,10.03,-0.75,-0.46,1.35
11.79,-0.33,9.82,-0.65,-0.47,1.24
12.71,-0.69,9.53,-0.49,-0.34,1.05
13.23,-0.97,9.47,-0.31,-0.17,0.80
13.33,-1.24,9.56,-0.13,-0.03,0.51
13.28,-1.44,9.60,0.01,0.04,0.22
13.38,-1.60,9.45,0.12,0.06,-0.06
13.69,-1.83,9.13,0.21,0.09,-0.37
13.92,-2.12,8.76,0.33,0.15,-0.71
13.84,-2.40,8.36,0.49,0.27,-1.08
13.37,-2.58,7.99,0.68,0.41,-1.43
12.61,-2.57,7.53,0.89,0.55,-1.76
11.63,-2.42,7.08,1.06,0.66,-2.04
10.58,-2.14,6.74,1.18,0.67,-2.28
9.66,-1.82,6.49,1.25,0.60,-2.46
8.94,-1.54,6.35,1.30,0.47,-2.61
8.45,-1.24,6.24,1.34,0.31,-2.75
8.01,-0.96,6.27,1.38,0.14,-2.88
7.52,-0.67,6.40,1.41,-0.05,-3.02
6.99,-0.40,6.51,1.43,-0.25,-3.15
6.52,-0.20,6.53,1.45,-0.45,-3.26
6.26,-0.09,6.25,1.46,-0.61,-3.38
6.09,-0.04,5.87,1.48,-0.67,-3.51
5.85,0.06,5.26,1.55,-0.60,-3.66
5.45,0.20,4.61,1.65,-0.41,-3.82
4.83,0.46,3.98,1.77,-0.17,-3.97
3.99,0.86,3.40,1.88,0.09,-4.10
2.97,1.35,2.69,1.96,0.35,-4.20
1.83,1.87,2.24,1.99,0.55,-4.25
0.61,2.36,1.64,2.00,0.61,-4.26
-0.67,2.98,0.77,1.93,0.57,-4.22
-1.78,3.82,-0.08,1.73,0.42,-4.11
-2.51,4.64,-0.73,1.41,0.19,-3.94
-2.71,5.21,-1.08,1.01,-0.05,-3.74
-2.40,5.40,-1.59,0.60,-0.16,-3.56
-1.82,5.24,-1.98,0.18,-0.05,-3.39
-1.28,4.65,-1.18,-0.14,0.27,-3.28
-0.31,3.36,0.11,0.11,0.95,-3.33
-0.49,2.67,-0.44,0.44,1.77,-3.49
-1.64,2.37,-0.20,0.60,2.24,-3.62
-3.84,2.57,0.82,0.71,2.18,-3.72
-6.29,3.00,1.01,0.70,1.47,-3.78
-8.19,3.26,0.63,0.61,0.57,-3.84
-9.40,3.70,-0.53,0.45,-0.16,-3.88
-9.64,4.21,-1.89,0.12,-0.62,-3.79
-8.72,4.15,-1.64,-0.19,-0.69,-3.60
-7.35,3.26,-0.34,0.02,-0.29,-3.51
-7.71,2.69,-0.38,0.28,0.08,-3.52
-9.58,2.64,-0.20,0.48,0.34,-3.47
-11.44,3.18,-0.28,0.61,0.46,-3.33
-12.31,3.94,-0.60,0.63,0.48,-3.11
-12.21,4.47,-0.83,0.59,0.50,-2.88
-11.89,4.63,-1.14,0.60,0.63,-2.67
-11.97,4.65,-1.12,0.68,0.83,-2.48
-12.55,4.74,-1.29,0.78,1.00,-2.26
-13.15,4.99,-1.50,0.85,1.11,-1.99
-13.45,5.38,-1.57,0.88,1.17,-1.70
-13.77,5.88,-1.75,0.89,1.19,-1.39
-13.70,6.24,-2.01,0.83,1.16,-1.06
-13.27,6.33,-1.99,0.75,1.12,-0.78
-12.81,6.22,-1.96,0.70,1.10,-0.59
-12.69,6.18,-2.01,0.67,1.10,-0.48
aX,aY,aZ,gX,gY,gZ
12.00,-0.19,4.60,-0.11,-1.18,-2.22
11.70,-0.28,4.50,-0.06,-1.17,-2.51
11.24,-0.36,4.23,0.00,-1.11,-2.79
10.54,-0.41,3.89,0.08,-1.00,-3.08
9.61,-0.29,3.32,0.17,-0.88,-3.34
8.63,-0.09,2.61,0.23,-0.73,-3.55
7.64,0.15,2.09,0.25,-0.59,-3.73
6.63,0.39,1.52,0.24,-0.49,-3.89
5.56,0.63,1.04,0.19,-0.43,-4.03
4.44,0.90,0.58,0.11,-0.38,-4.12
3.38,1.21,0.12,0.01,-0.32,-4.14
2.51,1.57,-0.30,-0.13,-0.21,-4.10
1.92,1.91,-0.56,-0.28,0.00,-4.00
1.61,1.93,0.65,-0.30,0.27,-3.88
1.26,1.87,0.89,-0.11,0.60,-3.83
0.46,2.22,0.65,-0.02,0.83,-3.82
-0.46,2.86,1.15,-0.02,0.93,-3.81
-1.26,3.64,1.36,-0.05,0.93,-3.80
-2.05,4.40,1.75,-0.07,0.89,-3.78
-2.94,5.07,2.03,-0.05,0.86,-3.77
-4.09,5.74,2.17,0.06,0.80,-3.77
-5.34,6.38,1.64,0.25,0.76,-3.77
-6.63,7.13,0.69,0.49,0.81,-3.79
-8.01,8.09,-0.51,0.72,0.93,-3.79
-9.63,9.15,-0.96,0.90,1.09,-3.68
-10.69,9.90,-0.90,1.24,1.38,-3.37
-11.11,10.75,-1.19,1.48,1.65,-2.93
-11.54,11.82,-1.64,1.42,1.66,-2.40
-12.27,12.87,-2.11,1.14,1.45,-1.84
-12.96,13.44,-2.69,0.76,1.10,-1.25
-13.22,13.35,-3.58,0.36,0.77,-0.66
-12.90,12.84,-4.43,-0.03,0.54,-0.11
-12.20,12.28,-5.11,-0.41,0.47,0.39
-11.44,11.89,-5.31,-0.81,0.55,0.84
-10.98,11.94,-4.95,-1.23,0.67,1.33
-10.20,11.50,-4.31,-1.68,0.74,1.92
-9.02,10.68,-3.58,-2.11,0.72,2.46
-7.64,9.66,-2.82,-2.50,0.63,2.93
-6.30,8.71,-1.79,-2.83,0.50,3.33
-5.05,7.90,-0.58,-3.11,0.26,3.67
-3.74,7.04,0.88,-3.29,-0.09,3.94
-2.50,6.28,2.05,-3.40,-0.49,4.15
-1.17,5.48,3.11,-3.45,-0.87,4.31
0.49,4.57,3.98,-3.45,-1.22,4.42
2.52,3.67,4.92,-3.38,-1.55,4.41
5.10,2.81,5.83,-3.26,-1.88,4.30
8.05,2.00,6.71,-3.07,-2.15,4.05
10.41,1.46,7.80,-2.75,-2.24,3.63
12.08,1.17,8.43,-2.32,-2.26,3.15
13.48,0.78,8.84,-1.85,-2.26,2.63
14.90,0.29,9.11,-1.28,-2.12,2.10
15.87,-0.07,9.15,-0.68,-1.78,1.52
16.87,-0.27,8.67,-0.17,-1.45,0.86
16.97,-0.18,7.93,0.26,-1.04,0.08
15.58,0.16,7.17,0.64,-0.60,-0.75
13.65,0.65,6.40,0.93,-0.25,-1.53
11.88,1.19,5.75,1.13,0.00,-2.19
10.19,1.76,5.24,1.28,0.19,-2.73
8.51,2.33,4.73,1.38,0.29,-3.15
6.92,2.94,4.07,1.45,0.29,-3.46
