MPU_Index,aX,aY,aZ,gX,gY,gZ
1,2.14,-4.18,-2.15,-3.80,1.64,-0.27
0,-3.17,3.10,1.76,-0.11,-1.65,-3.92
1,2.87,-3.65,-3.46,-4.16,1.90,0.04
0,-4.94,2.93,3.25,0.13,-2.12,-4.25
1,2.70,-3.07,-5.59,-4.27,2.53,0.12
0,-6.94,3.81,3.20,0.10,-2.80,-3.99
1,3.37,-2.80,-6.55,-3.82,3.15,0.06
0,-7.50,3.66,3.02,0.04,-3.21,-3.52
1,4.85,-2.63,-7.11,-3.37,3.32,0.05
0,-8.48,3.64,3.45,0.08,-3.07,-3.07
1,6.68,-2.73,-8.94,-2.95,2.83,0.09
0,-10.84,4.00,2.80,0.06,-2.24,-2.70
1,6.67,-3.66,-12.31,-2.56,1.79,-0.03
0,-13.30,4.34,2.71,-0.21,-1.25,-2.38
1,5.90,-4.59,-13.87,-2.45,0.91,-0.31
0,-13.81,4.07,3.10,-0.35,-0.48,-2.51
1,6.83,-4.84,-13.61,-2.73,0.20,-0.21
0,-13.94,3.93,5.12,0.03,0.16,-2.81
1,7.78,-3.77,-14.79,-2.90,-0.25,0.34
0,-15.66,3.70,6.18,0.60,0.29,-2.74
1,6.21,-2.28,-16.95,-2.58,-0.04,0.83
0,-18.17,3.25,5.20,0.99,-0.13,-2.17
1,4.99,-0.50,-19.61,-1.77,0.50,1.11
0,-19.61,2.17,4.25,1.21,-0.66,-1.16
1,4.63,0.96,-19.61,-0.64,0.89,1.29
0,-19.61,1.35,2.73,1.31,-0.81,0.03
1,4.11,1.14,-19.61,0.54,0.81,1.31
0,-19.61,0.99,1.34,1.24,-0.53,1.11
1,3.78,0.71,-19.61,1.44,0.37,1.21
0,-19.61,0.57,0.66,1.12,0.01,1.75
1,3.08,-0.30,-18.47,1.84,-0.23,1.07
0,-16.38,0.87,-0.47,0.94,0.67,1.95
1,2.49,-1.08,-15.08,1.87,-0.91,0.90
0,-13.43,1.06,-0.17,0.80,1.22,1.89
1,1.84,-1.38,-12.50,1.83,-1.30,0.76
0,-11.20,1.53,-0.18,0.62,1.49,1.90
1,1.70,-1.49,-10.56,1.90,-1.47,0.58
0,-9.80,2.04,0.06,0.43,1.60,2.03
1,1.66,-1.92,-9.46,2.09,-1.56,0.40
0,-9.14,2.67,-0.12,0.27,1.69,2.24
1,1.72,-2.53,-8.94,2.28,-1.65,0.29
0,-8.75,3.31,-0.03,0.23,1.79,2.40
1,1.87,-3.34,-8.70,2.42,-1.80,0.31
0,-8.63,3.96,0.08,0.27,1.95,2.53
1,1.67,-3.84,-8.52,2.57,-1.91,0.36
0,-8.59,4.30,0.10,0.33,1.98,2.72
1,1.26,-3.78,-8.28,2.79,-1.84,0.42
0,-8.05,4.29,0.09,0.40,1.84,2.97
1,0.93,-3.32,-7.48,3.06,-1.68,0.49
0,-7.28,4.07,-0.24,0.43,1.73,3.26
1,0.91,-3.39,-6.54,3.38,-1.62,0.44
0,-6.21,4.29,-0.47,0.31,1.69,3.56
1,0.79,-3.84,-5.49,3.62,-1.60,0.33
0,-5.47,4.19,-0.81,0.25,1.67,3.75
1,0.14,-3.91,-4.83,3.81,-1.59,0.18
0,-4.62,3.70,-1.45,0.00,1.68,3.92
1,0.02,-3.39,-3.74,3.91,-1.58,-0.00
0,-3.67,3.28,-1.47,-0.13,1.65,3.97
1,-0.19,-3.19,-2.92,3.96,-1.54,-0.10
0,-2.75,3.30,-1.76,-0.22,1.61,4.03
1,-0.43,-3.34,-1.76,3.98,-1.52,-0.21
0,-1.54,3.18,-1.73,-0.34,1.60,3.97
1,-0.10,-3.39,-0.48,3.89,-1.53,-0.32
0,-0.06,3.31,-1.60,-0.45,1.67,3.87
1,0.69,-3.82,1.09,3.79,-1.69,-0.40
0,1.33,4.00,-0.88,-0.50,1.87,3.81
1,1.43,-4.20,2.48,3.79,-1.89,-0.43
0,2.52,4.66,-0.03,-0.49,2.02,3.86
1,1.46,-4.61,3.68,3.89,-1.93,-0.39
0,3.68,5.20,0.51,-0.45,1.90,4.03
1,0.95,-4.07,4.86,4.19,-1.62,-0.35
0,5.45,5.02,0.24,-0.48,1.47,4.37
1,1.13,-2.66,7.20,4.37,-1.24,-0.53
0,8.10,4.40,0.26,-0.79,1.31,4.37
1,2.76,-2.44,12.13,4.37,-1.38,-0.98
0,14.60,5.07,0.28,-1.47,1.72,4.37
1,3.66,-6.39,19.43,4.37,-1.93,-1.75
0,19.61,6.21,1.20,-2.18,2.26,4.37
1,4.15,-11.53,19.61,4.37,-2.34,-2.23
0,19.61,8.13,3.35,-2.26,2.41,3.72
1,4.57,-14.34,19.61,2.49,-2.21,-1.84
0,19.61,9.42,4.79,-1.43,2.02,1.40
1,3.83,-13.45,19.61,0.44,-1.61,-0.82
0,19.61,10.26,3.83,-0.38,1.29,-0.18
1,1.96,-12.21,19.61,-0.72,-0.80,0.06
0,18.97,10.87,2.13,0.31,0.41,-0.98
1,0.81,-11.98,18.18,-1.26,0.03,0.44
0,17.45,10.73,0.38,0.40,-0.19,-1.48
1,1.24,-11.80,17.24,-1.91,0.41,0.35
0,15.99,9.33,1.06,0.29,-0.47,-2.25
1,2.35,-10.10,15.41,-2.70,0.69,0.38
0,14.12,7.89,2.19,0.58,-0.74,-2.98
1,3.40,-8.69,13.99,-3.37,0.90,0.85
0,12.67,6.79,2.09,1.10,-0.85,-3.61
1,3.10,-7.51,12.59,-3.97,0.93,1.27
0,11.31,5.71,1.32,1.38,-0.85,-4.16
1,2.49,-6.36,11.34,-4.37,0.92,1.34
0,9.96,5.27,0.41,1.24,-0.82,-4.37
1,1.83,-5.70,10.01,-4.37,0.86,1.02
0,8.45,4.89,-0.14,0.76,-0.75,-4.37
1,1.55,-5.14,8.75,-4.37,0.77,0.47
0,7.06,4.52,-0.33,0.23,-0.66,-4.37
1,1.32,-4.55,7.20,-4.37,0.68,0.03
0,5.09,4.04,-0.16,-0.10,-0.59,-4.37
1,1.33,-3.94,5.14,-4.37,0.64,-0.17
0,3.34,3.55,-0.08,-0.18,-0.58,-4.37
1,1.35,-3.63,3.72,-4.37,0.63,-0.17
0,2.16,3.45,-0.08,-0.13,-0.56,-4.37
1,1.64,-3.63,2.57,-4.37,0.59,-0.06
0,0.94,2.92,0.83,0.06,-0.57,-4.37
1,2.38,-3.04,1.10,-4.37,0.74,0.22
0,-0.75,2.06,1.66,0.43,-0.79,-4.37
1,2.66,-2.10,-0.75,-4.37,0.96,0.60
0,-2.65,0.31,1.70,0.79,-0.99,-4.37
1,2.75,-1.00,-2.39,-4.37,1.18,0.92
0,-4.96,-0.09,1.62,1.02,-1.25,-4.37
1,2.41,-0.54,-4.67,-4.37,1.48,0.97
0,-19.61,-4.55,1.85,1.01,-0.78,-1.75
1,0.49,8.48,-19.61,-0.75,1.19,1.07
0,-19.61,-4.02,-0.62,0.97,-1.27,0.31
1,0.56,7.29,-19.61,1.00,1.44,0.87
0,-19.61,-5.05,-1.64,0.67,-1.26,1.54
1,0.45,6.17,-19.61,1.76,1.21,0.47
0,-18.55,-5.30,-2.50,0.20,-0.85,1.97
1,0.67,5.07,-17.20,1.97,0.67,0.03
0,-15.59,-4.80,-2.02,-0.19,-0.30,1.98
1,1.12,3.83,-14.85,1.91,0.13,-0.26
0,-13.93,-3.20,-1.46,-0.39,0.22,1.97
1,1.62,2.57,-13.74,2.00,-0.35,-0.36
0,-13.04,-1.58,-0.44,-0.43,0.57,2.15
1,1.84,1.43,-12.64,2.24,-0.58,-0.37
0,-11.89,-0.21,0.24,-0.41,0.71,2.43
1,2.34,0.38,-11.19,2.54,-0.67,-0.30
0,-10.83,0.70,0.92,-0.29,0.79,2.76
1,3.08,-0.11,-10.53,2.93,-0.82,-0.14
0,-10.32,1.53,0.54,-0.13,1.13,3.23
1,3.41,-0.59,-9.60,3.44,-1.31,0.01
0,-9.82,1.88,0.71,0.01,1.63,3.70
1,2.80,-1.05,-9.21,3.87,-1.75,0.12
0,-9.23,1.95,0.43,0.07,1.97,4.07
1,2.19,-1.44,-8.45,4.13,-1.95,0.18
0,-8.94,1.81,0.79,0.13,1.96,4.27
1,1.46,-1.66,-8.57,4.29,-1.71,0.19
0,-8.89,1.73,0.96,0.13,1.52,4.31
1,0.53,-2.39,-7.96,4.21,-1.14,0.14
0,-7.69,2.93,-1.07,-0.08,1.10,4.26
1,0.19,-2.83,-6.80,4.29,-0.96,-0.16
0,-6.80,2.89,-0.72,-0.30,1.01,4.37
1,1.04,-2.23,-6.16,4.37,-0.92,-0.24
0,-6.09,2.79,-0.42,-0.25,1.10,4.37
1,2.29,-2.20,-4.45,4.37,-1.11,-0.06
0,-4.33,3.10,0.40,-0.02,1.33,4.37
1,2.23,-3.24,-2.86,4.37,-1.36,0.14
0,-2.89,3.82,0.42,0.11,1.52,4.37
1,1.87,-4.12,-1.50,4.37,-1.41,0.21
0,-1.93,4.27,0.90,0.13,1.42,4.37
1,1.78,-4.36,-0.66,4.37,-1.16,0.19
0,-0.98,4.68,1.39,0.13,1.08,4.37
1,1.73,-4.36,0.39,4.37,-0.79,0.24
0,0.11,5.14,1.22,0.21,0.72,4.37
1,2.04,-4.26,2.01,4.37,-0.51,0.36
0,1.88,5.10,1.20,0.35,0.53,4.37
1,2.12,-4.37,4.36,4.37,-0.38,0.45
0,4.54,4.82,1.57,0.38,0.52,4.37
1,3.70,-4.22,7.92,4.37,-0.50,0.51
0,8.75,4.26,2.12,0.50,0.75,4.37
1,3.97,-5.99,12.64,4.37,-0.83,0.58
0,13.58,5.42,1.13,0.40,1.15,4.37
1,2.60,-9.20,17.63,4.37,-1.22,0.32
0,19.54,7.41,-0.07,0.10,1.48,3.99
1,1.22,-13.33,19.61,2.96,-1.52,0.02
0,19.61,9.84,-1.11,-0.16,1.69,1.90
1,-0.26,-15.53,19.61,0.82,-1.62,-0.19
0,19.61,11.70,-1.68,-0.29,1.61,-0.05
1,-1.57,-14.51,19.61,-0.77,-1.41,-0.24
0,19.03,11.98,-2.17,-0.25,1.25,-1.14
1,-2.01,-12.24,16.96,-1.39,-0.94,-0.14
0,15.34,11.60,-1.74,-0.08,0.72,-1.42
1,-1.01,-11.30,14.33,-1.50,-0.38,0.09
0,13.77,10.73,-0.23,0.24,0.18,-1.53
1,0.68,-11.24,13.67,-1.75,0.09,0.39
0,13.32,10.55,0.35,0.43,-0.13,-1.87
1,1.75,-11.37,13.41,-2.17,0.30,0.48
0,12.89,10.03,1.16,0.49,-0.29,-2.38
1,2.41,-10.65,12.66,-2.73,0.44,0.54
0,11.51,9.19,1.31,0.58,-0.46,-2.93
1,2.00,-9.71,11.01,-3.21,0.64,0.61
0,9.79,8.61,1.11,0.59,-0.71,-3.33
1,1.42,-8.87,9.27,-3.55,0.97,0.54
0,7.96,7.99,0.76,0.46,-1.09,-3.60
1,0.93,-7.94,7.44,-3.75,1.37,0.37
0,6.09,7.20,0.25,0.26,-1.47,-3.76
1,0.82,-7.00,5.68,-3.89,1.71,0.17
0,4.36,6.29,-0.17,0.10,-1.71,-3.87
1,0.81,-6.00,4.07,-3.99,1.84,0.06
0,2.72,5.21,-0.51,0.05,-1.80,-3.98
1,0.59,-4.90,2.40,-4.08,1.89,0.04
0,1.18,4.34,-0.94,0.05,-1.82,-4.05
1,0.35,-4.09,0.95,-4.15,1.91,0.06
0,-0.39,3.67,-1.19,0.08,-1.87,-4.10
1,0.12,-3.42,-0.44,-4.17,1.94,0.07
0,-1.51,3.03,-1.35,0.04,-1.86,-4.14
1,0.32,-3.24,-1.47,-4.31,1.93,-0.02
0,-2.46,2.25,-0.68,-0.07,-1.87,-4.37
1,0.96,-2.83,-2.59,-4.37,1.99,-0.13
0,-4.13,2.03,0.39,-0.16,-2.01,-4.37
1,1.71,-1.91,-4.04,-4.37,2.16,-0.15
0,-5.46,1.54,0.66,-0.05,-2.14,-4.37
1,2.07,-1.62,-5.37,-4.37,2.18,0.01
0,-6.33,1.85,-0.42,-0.00,-1.93,-4.37
1,2.60,-2.03,-6.00,-4.37,1.73,-0.04
0,-7.77,2.29,-0.11,-0.07,-1.31,-4.37
1,3.20,-1.96,-8.59,-4.37,1.02,-0.14
0,-10.94,2.89,0.17,-0.23,-0.65,-4.37
1,2.77,-1.71,-12.55,-4.11,0.51,-0.26
0,-14.34,3.69,1.43,-0.29,-0.46,-3.68
1,2.57,-2.10,-15.33,-3.33,0.68,-0.24
0,-16.26,3.61,1.95,-0.14,-0.77,-2.93
1,2.70,-2.29,-16.86,-2.70,0.96,-0.01
0,-17.18,2.73,1.90,0.08,-1.01,-2.42
1,2.71,-1.24,-17.36,-2.30,1.21,0.23
0,-17.19,1.43,1.72,0.40,-1.25,-2.03
1,2.62,-0.05,-17.47,-1.91,1.40,0.60
0,-17.84,0.29,0.77,0.72,-1.30,-1.68
1,2.38,1.31,-19.35,-1.45,1.28,0.77
0,-19.61,-0.14,-0.58,0.75,-1.00,-0.98
1,1.61,2.13,-19.61,-0.63,0.83,0.68
0,-19.61,-0.32,-1.81,0.52,-0.48,-0.12
1,0.86,2.39,-19.61,0.32,0.28,0.37
0,-19.61,-0.18,-2.23,0.11,0.07,0.82
1,0.91,1.53,-19.01,1.15,-0.22,-0.07
0,-17.14,0.17,-1.48,-0.30,0.53,1.50
1,1.73,0.31,-15.79,1.69,-0.67,-0.39
0,-14.14,0.85,0.05,-0.52,0.94,1.92
1,3.08,-0.62,-13.01,2.06,-1.04,-0.44
0,-11.82,1.85,1.45,-0.43,1.26,2.24
1,3.62,-2.00,-11.24,2.30,-1.27,-0.27
0,-11.07,2.98,2.00,-0.25,1.38,2.45
1,3.38,-2.67,-11.27,2.58,-1.30,-0.10
0,-11.64,3.71,2.05,-0.05,1.29,2.82
1,2.80,-2.49,-11.96,3.05,-1.09,0.12
0,-12.25,3.73,1.66,0.17,1.05,3.40
1,2.63,-2.26,-12.06,3.65,-0.87,0.35
0,-12.03,3.52,1.01,0.35,0.93,3.96
1,2.10,-2.85,-11.33,4.13,-0.95,0.43
0,-11.06,3.73,-0.63,0.32,1.26,4.32
1,2.31,-3.63,-9.60,4.29,-1.43,0.35
0,-9.04,3.46,-0.14,0.22,1.83,4.26
1,2.88,-4.10,-7.21,4.10,-2.02,0.25
0,-6.92,3.81,0.69,0.16,2.31,4.05
1,3.00,-3.88,-5.17,4.09,-2.26,0.34
0,-4.85,3.78,0.96,0.28,2.34,4.00
1,1.83,-3.81,-4.16,3.91,-2.20,0.38
0,-4.45,3.60,0.69,0.36,2.17,3.95
1,0.69,-3.06,-3.57,3.95,-1.92,0.43
0,-3.47,3.06,-0.50,0.30,1.84,4.05
1,0.06,-2.60,-2.20,4.03,-1.64,0.33
0,-2.19,2.56,-1.12,0.20,1.65,4.07
1,0.06,-2.64,-1.13,4.04,-1.54,0.17
0,-1.14,2.88,-1.25,-0.03,1.61,4.11
1,0.19,-2.92,0.10,4.12,-1.51,-0.09
0,0.11,3.19,-0.94,-0.30,1.53,4.20
1,0.35,-3.12,1.30,4.21,-1.37,-0.34
0,1.14,3.56,-0.67,-0.51,1.34,4.30
1,0.43,-3.32,2.16,4.34,-1.14,-0.49
0,1.78,3.73,-0.43,-0.61,1.08,4.37
1,0.71,-3.23,2.77,4.37,-0.87,-0.55
0,2.38,3.71,-0.44,-0.66,0.83,4.37
1,1.16,-2.93,3.64,4.37,-0.63,-0.57
0,3.75,3.77,0.68,-0.60,0.63,4.37
1,2.52,-3.05,6.05,4.37,-0.51,-0.41
0,6.64,3.79,1.47,-0.35,0.66,4.37
1,3.95,-3.82,9.59,4.37,-0.70,-0.12
0,10.19,4.19,1.78,-0.07,1.04,4.37
1,4.35,-5.64,13.63,4.37,-1.28,0.07
0,14.67,5.00,0.55,-0.07,1.78,4.37
1,3.85,-8.15,19.46,4.30,-2.17,-0.15
0,19.61,6.38,0.11,-0.42,2.76,3.61
1,3.92,-12.55,19.61,2.62,-3.19,-0.55
0,19.61,9.31,1.10,-0.79,3.62,1.49
1,3.45,-16.15,19.61,0.27,-3.75,-0.77
0,19.61,12.23,2.58,-0.75,3.73,-0.69
1,2.27,-15.64,19.61,-1.44,-3.39,-0.50
0,19.61,13.29,3.20,-0.28,2.95,-1.81
1,1.36,-13.68,19.61,-2.04,-2.30,0.06
0,18.56,13.69,3.26,0.31,1.70,-1.98
1,1.38,-13.22,17.36,-1.97,-0.92,0.51
0,16.44,13.43,3.91,0.59,0.28,-1.91
1,2.59,-13.51,16.01,-2.06,0.40,0.64
0,15.12,12.35,4.85,0.68,-0.82,-2.16
1,4.46,-12.49,14.31,-2.40,1.34,0.80
0,13.22,11.16,5.28,0.96,-1.58,-2.49
1,5.20,-11.09,12.69,-2.71,1.91,1.12
0,11.49,9.45,4.47,1.28,-1.98,-2.78
1,4.91,-9.12,11.10,-2.96,2.16,1.38
0,9.84,7.96,3.26,1.45,-2.11,-2.95
1,3.75,-7.46,9.70,-3.07,2.26,1.43
0,8.49,6.86,1.89,1.38,-2.21,-3.01
1,2.78,-6.50,8.32,-3.09,2.35,1.26
0,7.10,6.20,1.09,1.12,-2.29,-3.02
1,2.08,-6.13,7.24,-3.10,2.41,0.93
0,6.18,5.86,0.39,0.76,-2.30,-3.07
1,1.98,-6.02,6.27,-3.22,2.34,0.63
0,5.04,5.30,-0.07,0.54,-2.17,-3.27
1,1.63,-5.75,5.01,-3.46,2.15,0.45
0,4.04,4.86,-0.57,0.38,-1.95,-3.54
1,1.34,-5.47,4.08,-3.79,1.90,0.30
0,3.03,4.26,-0.86,0.25,-1.68,-3.93
1,1.35,-4.96,2.95,-4.20,1.60,0.20
0,1.90,3.99,-0.93,0.17,-1.39,-4.32
1,1.21,-4.68,2.01,-4.37,1.29,0.12
0,0.65,3.63,-1.04,0.12,-1.08,-4.37
1,0.94,-3.88,0.66,-4.37,1.05,0.11
0,-0.64,2.98,-0.76,0.13,-0.94,-4.37
1,0.84,-2.87,-0.59,-4.37,1.04,0.15
0,-1.62,1.74,-0.06,0.19,-1.08,-4.37
1,0.79,-2.48,-1.04,-4.37,1.19,0.19
0,-14.59,-2.19,0.92,0.04,2.54,-4.37
1,0.83,4.93,-13.83,-4.37,-2.16,0.43
0,-15.73,-2.46,1.06,0.85,1.81,-4.37
1,-0.21,6.56,-17.09,-4.37,-1.19,1.26
0,-19.36,-3.72,-0.21,1.66,0.64,-3.77
1,-2.86,9.57,-19.61,-2.83,0.06,2.00
0,-19.61,-6.06,-2.96,2.28,-0.61,-1.61
1,-6.32,13.31,-19.61,-0.42,1.28,2.48
0,-19.61,-9.18,-7.78,2.64,-1.66,0.89
1,-10.04,15.01,-19.61,1.85,2.27,2.69
0,-19.61,-11.84,-11.13,2.61,-2.54,2.76
1,-11.93,14.40,-19.61,3.29,2.84,2.37
0,-19.61,-12.50,-15.11,1.95,-2.58,3.69
1,-11.93,11.56,-18.55,3.68,2.34,1.47
0,-16.77,-11.40,-15.21,0.90,-1.71,3.56
1,-9.64,8.54,-15.32,3.17,1.31,0.37
0,-13.91,-9.26,-13.20,-0.26,-0.65,2.82
1,-7.19,6.11,-12.91,2.39,0.17,-0.78
0,-11.82,-6.81,-10.40,-1.34,0.48,2.08
1,-4.46,4.58,-11.47,1.75,-0.97,-1.64
0,-10.75,-5.21,-7.41,-1.96,1.53,1.55
1,-2.56,3.48,-10.91,1.37,-1.87,-2.00
0,-10.98,-3.16,-4.47,-2.06,2.13,1.35
1,-2.15,2.45,-11.51,1.39,-2.06,-1.86
0,-11.51,-1.30,-2.72,-1.79,1.91,1.62
1,-2.27,2.17,-11.65,1.86,-1.55,-1.54
0,-11.11,-0.53,-2.21,-1.48,1.26,2.23
1,-2.06,1.99,-10.97,2.59,-0.84,-1.29
0,-10.44,-0.14,-1.64,-1.24,0.52,3.02
1,-1.79,1.97,-10.55,3.41,-0.02,-1.00
0,-10.70,0.40,-1.46,-0.87,-0.29,3.94
1,-1.45,1.64,-10.36,4.37,0.69,-0.64
0,-10.33,0.67,-1.98,-0.63,-0.86,4.37
1,-1.73,0.74,-9.01,4.37,1.17,-0.55
0,-8.95,1.09,-3.78,-0.71,-1.15,4.37
1,-2.21,-0.95,-7.31,4.37,1.18,-0.77
0,-7.30,1.60,-5.07,-1.02,-0.88,4.37
1,-1.65,-1.96,-5.89,4.37,0.76,-1.10
0,-6.40,1.23,-3.77,-1.28,-0.46,4.37
1,-0.69,-1.80,-5.13,4.37,0.37,-1.23
0,-5.40,1.41,-3.41,-1.32,-0.06,4.37
1,-0.22,-1.82,-3.93,4.37,-0.09,-1.23
0,-3.94,1.51,-2.47,-1.31,0.40,4.37
1,0.58,-2.26,-2.40,4.37,-0.52,-1.21
0,-2.66,2.21,-1.95,-1.31,0.78,4.37
1,0.55,-3.16,-1.57,4.37,-0.82,-1.22
0,-2.13,2.87,-1.68,-1.33,0.99,4.37
1,0.54,-3.40,-1.33,4.37,-0.98,-1.24
0,-1.68,3.12,-1.15,-1.34,1.07,4.37
1,0.51,-3.34,-0.87,4.37,-0.95,-1.25
0,-1.47,3.61,-0.57,-1.34,0.89,4.37
1,0.62,-3.35,-0.01,4.37,-0.66,-1.22
0,0.62,4.03,0.66,-1.25,0.59,4.37
1,2.53,-4.17,2.69,4.37,-0.35,-1.08
0,3.02,5.19,2.83,-1.06,0.31,4.37
1,4.61,-5.50,5.62,4.37,-0.06,-0.78
0,6.14,6.34,5.05,-0.62,-0.02,4.37
1,6.05,-6.89,8.15,4.37,0.31,-0.23
0,8.57,8.06,5.95,-0.02,-0.37,4.37
1,5.62,-9.25,10.08,4.37,0.70,0.26
0,9.33,10.18,4.99,0.33,-0.84,4.37
1,4.19,-9.72,10.22,4.37,1.20,0.47
0,9.17,10.46,3.36,0.42,-1.31,4.37
1,2.68,-9.07,11.89,4.37,1.60,0.45
0,12.82,9.47,0.78,0.31,-1.49,4.37
1,2.23,-11.34,17.82,4.37,1.49,0.34
0,19.61,9.01,-0.61,0.30,-1.08,4.37
1,1.56,-14.82,19.61,3.30,0.84,0.37
0,19.61,9.65,-2.20,0.35,-0.34,2.06
1,0.19,-15.18,19.61,0.75,0.09,0.43
0,19.61,10.18,-3.00,0.45,0.25,-0.21
1,-1.65,-13.30,19.61,-1.06,-0.31,0.51
0,19.61,10.38,-3.85,0.50,0.42,-1.57
1,-3.02,-11.84,19.54,-2.03,-0.27,0.49
0,17.72,10.33,-3.64,0.44,0.21,-2.27
1,-2.74,-10.92,16.56,-2.58,0.09,0.40
0,15.22,9.22,-1.92,0.31,-0.31,-2.77
1,-1.12,-9.80,14.52,-3.07,0.66,0.23
0,13.23,8.45,-0.45,0.17,-0.83,-3.24
1,0.67,-8.97,12.87,-3.53,1.10,0.16
0,11.41,7.60,0.47,0.17,-1.15,-3.68
1,1.77,-7.71,11.04,-3.92,1.29,0.20
0,9.19,6.77,0.70,0.25,-1.24,-3.97
1,1.90,-6.58,8.88,-4.10,1.36,0.27
0,7.24,6.07,0.54,0.27,-1.35,-4.08
1,1.37,-5.78,7.07,-4.16,1.50,0.23
0,5.49,5.52,-0.03,0.17,-1.50,-4.08
1,0.97,-5.16,5.41,-4.14,1.63,0.09
0,4.20,4.80,-0.55,-0.01,-1.58,-4.10
1,0.69,-4.83,4.39,-4.21,1.64,-0.10
0,3.21,3.99,-1.24,-0.19,-1.49,-4.25
1,0.52,-4.16,3.34,-4.37,1.44,-0.26
0,2.07,3.09,-1.77,-0.30,-1.21,-4.37
1,0.51,-3.46,2.32,-4.37,1.09,-0.29
0,1.08,2.27,-1.97,-0.27,-0.81,-4.37
1,0.39,-3.08,1.44,-4.37,0.59,-0.24
0,0.02,1.54,-2.34,-0.22,-0.26,-4.37
1,0.22,-2.58,0.27,-4.37,0.10,-0.19
0,-1.58,0.81,-2.05,-0.18,0.09,-4.37
1,-0.28,-1.62,-1.20,-4.37,-0.14,-0.18
0,-3.06,-0.25,-2.07,-0.17,0.26,-4.37
1,-0.49,-0.59,-1.70,-4.37,-0.23,-0.18
0,-3.64,-1.11,-2.65,-0.18,0.34,-4.37
1,-0.36,0.45,-2.97,-4.37,-0.47,-0.21
0,-5.59,-1.79,-2.40,-0.18,0.69,-4.37
1,0.23,1.50,-4.54,-4.37,-0.93,-0.19
0,-7.41,-2.20,-3.11,-0.21,1.32,-4.37
1,0.44,2.46,-6.90,-4.37,-1.69,-0.24
0,-11.26,-2.17,-2.38,-0.22,2.04,-4.37
1,0.29,3.28,-12.07,-4.37,-2.19,-0.26
0,-16.26,-1.19,-1.31,-0.37,2.24,-4.37
1,0.42,3.53,-17.09,-4.37,-2.28,-0.40
0,-19.61,-0.73,-1.21,-0.31,2.38,-4.37
1,0.15,4.36,-19.61,-4.37,-2.32,-0.03
0,-19.61,-1.71,-1.68,0.32,2.20,-3.92
1,-2.54,6.22,-19.61,-3.19,-1.86,0.79
0,-19.61,-3.84,-4.16,1.23,1.51,-2.35
1,-6.23,8.16,-19.61,-1.62,-0.99,1.59
0,-19.61,-5.64,-7.69,1.72,0.60,-0.79
1,-9.47,9.73,-19.61,-0.10,0.04,1.70
0,-19.61,-7.09,-10.03,1.50,-0.49,0.67
1,-10.94,10.12,-19.19,1.22,0.97,1.25
0,-16.84,-8.06,-12.40,0.89,-1.06,1.71
1,-10.88,8.28,-15.84,1.86,1.13,0.50
0,-14.01,-7.00,-13.94,-0.02,-0.75,1.94
1,-9.37,5.44,-13.15,1.78,0.44,-0.46
0,-11.86,-5.34,-11.80,-0.94,0.04,1.58
1,-6.94,2.91,-11.90,1.29,-0.29,-1.23
0,-11.51,-2.94,-8.94,-1.55,0.62,1.16
1,-5.04,1.86,-12.10,1.04,-0.68,-1.62
0,-11.80,-1.66,-5.29,-1.71,0.72,1.10
1,-2.95,1.65,-12.33,1.16,-0.56,-1.56
0,-12.16,-0.51,-3.32,-1.48,0.49,1.42
1,-1.85,1.61,-12.76,1.63,-0.26,-1.23
0,-12.41,-0.57,-2.55,-1.10,0.15,1.89
1,-1.75,1.08,-12.70,2.10,0.07,-0.87
0,-12.36,0.54,-3.19,-0.80,-0.09,2.42
1,-2.62,0.47,-12.33,2.67,0.29,-0.67
0,-12.17,0.64,-3.93,-0.74,-0.38,2.98
1,-3.27,0.63,-11.94,3.19,0.63,-0.72
0,-11.66,0.51,-4.75,-0.86,-0.60,3.50
1,-2.85,0.52,-10.91,3.73,0.69,-0.87
0,-10.72,0.93,-4.43,-1.00,-0.59,4.03
1,-2.07,-0.00,-9.84,4.26,0.65,-0.94
0,-9.83,1.32,-3.47,-1.01,-0.53,4.37
1,-1.20,-0.59,-8.57,4.37,0.59,-0.91
0,-8.32,1.70,-3.00,-0.96,-0.46,4.37
1,-1.15,-1.51,-6.94,4.37,0.53,-0.87
0,-6.68,1.76,-2.99,-0.94,-0.42,4.37
1,-0.80,-1.75,-5.35,4.37,0.49,-0.85
0,-5.30,1.79,-2.24,-0.91,-0.34,4.37
1,0.28,-1.77,-3.75,4.37,0.37,-0.76
0,-3.78,2.08,-1.08,-0.73,-0.24,4.37
1,0.88,-2.26,-2.30,4.37,0.33,-0.49
0,-2.53,2.90,-0.59,-0.39,-0.20,4.37
1,1.20,-3.07,-1.20,4.37,0.24,-0.16
0,-1.71,3.51,-0.78,-0.17,-0.09,4.37
1,0.35,-3.68,-0.74,4.37,0.17,-0.10
0,-1.40,3.44,-1.72,-0.27,-0.10,4.37
1,-0.91,-3.71,-0.24,4.37,0.25,-0.34
0,-0.88,3.27,-2.51,-0.59,-0.22,4.37
1,-1.15,-3.46,0.09,4.37,0.37,-0.66
0,-0.37,3.46,-2.41,-0.86,-0.30,4.37
1,-0.15,-3.31,0.83,4.37,0.41,-0.84
0,0.39,3.97,-0.89,-0.90,-0.31,4.37
1,1.18,-3.55,1.73,4.37,0.42,-0.71
0,1.22,4.44,0.26,-0.63,-0.38,4.37
